Clone name,Pathogen,Infection,Info,Part,Notes
A 13 /D-56 [CIV],Phytophthora,13.05,percentage of infected pods,Pod,Rank calculated using Newman-Keuls test at 5% = AB
A1 180 /2 [CIV],Phytophthora,12.66,percentage of infected pods,Pod,Rank calculated using Newman-Keuls test at 5% = BC
A1 214 /9 [CIV],Phytophthora,12.78,percentage of infected pods,Pod,Rank calculated using Newman-Keuls test at 5% = BC
ACU 85,Phytophthora,12.78,percentage of infected pods,Pod,Rank calculated using Newman-Keuls test at 5% = BC
B 11 /B-263 [CIV],Phytophthora,9.46,percentage of infected pods,Pod,Rank calculated using Newman-Keuls test at 5% = AB
B 9 /5 [CIV],Phytophthora,14.98,percentage of infected pods,Pod,Rank calculated using Newman-Keuls test at 5% = AB
B 9 /8 [CIV],Phytophthora,12.27,percentage of infected pods,Pod,Rank calculated using Newman-Keuls test at 5% = AB
GS 29,Phytophthora,16.58,percentage of infected pods,Pod,Rank calculated using Newman-Keuls test at 5% = A
GS 36,Phytophthora,11.45,percentage of infected pods,Pod,Rank calculated using Newman-Keuls test at 5% = BC
GW 1,Phytophthora,20.98,percentage of infected pods,Pod,Rank calculated using Newman-Keuls test at 5% = A
ICS 100,Phytophthora,15.35,percentage of infected pods,Pod,Rank calculated using Newman-Keuls test at 5% = A
ICS 39,Phytophthora,11.46,percentage of infected pods,Pod,Rank calculated using Newman-Keuls test at 5% = BC
ICS 84,Phytophthora,8.96,percentage of infected pods,Pod,Rank calculated using Newman-Keuls test at 5% = AB
ICS 89,Phytophthora,10.65,percentage of infected pods,Pod,Rank calculated using Newman-Keuls test at 5% = BC
ICS 95,Phytophthora,13.41,percentage of infected pods,Pod,Rank calculated using Newman-Keuls test at 5% = B
IFC 2 [CIV],Phytophthora,12.39,percentage of infected pods,Pod,Rank calculated using Newman-Keuls test at 5% = AB
IFC 25 [CIV],Phytophthora,15.23,percentage of infected pods,Pod,Rank calculated using Newman-Keuls test at 5% = B
IFC 27 [CIV],Phytophthora,11.65,percentage of infected pods,Pod,Rank calculated using Newman-Keuls test at 5% = BC
IFC 317 [CIV],Phytophthora,19.31,percentage of infected pods,Pod,Rank calculated using Newman-Keuls test at 5% = A
IFC 413 [CIV],Phytophthora,15.04,percentage of infected pods,Pod,Rank calculated using Newman-Keuls test at 5% = AB
IFC 414 [CIV],Phytophthora,6.49,percentage of infected pods,Pod,Rank calculated using Newman-Keuls test at 5% = B
IFC 5 [CIV],Phytophthora,7.82,percentage of infected pods,Pod,Rank calculated using Newman-Keuls test at 5% = AB
IFC 5 [CIV],Phytophthora,10.02,percentage of infected pods,Pod,Rank calculated using Newman-Keuls test at 5% = BC
IFC 5 [CIV],Phytophthora,9.47,percentage of infected pods,Pod,Rank calculated using Newman-Keuls test at 5% = B
IFC 5 [CIV],Phytophthora,13.37,percentage of infected pods,Pod,Rank calculated using Newman-Keuls test at 5% = EF
IFC 6 [CIV],Phytophthora,8.9,percentage of infected pods,Pod,Rank calculated using Newman-Keuls test at 5% = AB
IMC 31,Phytophthora,19.08,percentage of infected pods,Pod,Rank calculated using Newman-Keuls test at 5% = CD
IMC 5,Phytophthora,22.23,percentage of infected pods,Pod,Rank calculated using Newman-Keuls test at 5% = ABC
