Clone name,Pest,Reaction,Info,Notes
B 9 /5 [CIV],Mirids,moderate damage,Trial G8,Rank calculated using Newman-Keuls test at 5% = AB
B 9 /8 [CIV],Mirids,moderate damage,Trial G8,Rank calculated using Newman-Keuls test at 5% = AB
GS 29,Mirids,high damage,Trial D13/4,Rank calculated using Newman-Keuls test at 5% = AB
GS 36,Mirids,high damage,Trial D11/2,Rank calculated using Newman-Keuls test at 5% = A
GS 36,Mirids,moderate damage,Trial I17,Rank calculated using Newman-Keuls test at 5% = AB
GW 1,Mirids,high damage,Trial G8,Rank calculated using Newman-Keuls test at 5% = A
ICS 100,Mirids,high damage,Trial D13/4,Rank calculated using Newman-Keuls test at 5% = A
ICS 39,Mirids,high damage,Trial D11/2,Rank calculated using Newman-Keuls test at 5% = A
ICS 84,Mirids,moderate damage,Trial I17,Rank calculated using Newman-Keuls test at 5% = AB
ICS 84,Mirids,moderate damage,Trial D13/4,Rank calculated using Newman-Keuls test at 5% = BCDE
ICS 89,Mirids,moderate damage,Trial D11/2,Rank calculated using Newman-Keuls test at 5% = ABCD
ICS 95,Mirids,moderate damage,Trial D11/2,Rank calculated using Newman-Keuls test at 5% = ABCD
IFC 2 [CIV],Mirids,low damage,Trial G8,Rank calculated using Newman-Keuls test at 5% = B
IFC 25 [CIV],Mirids,moderate damage,Trial D11/2,Rank calculated using Newman-Keuls test at 5% = BCD
IFC 27 [CIV],Mirids,moderate damage,Trial D11/2,Rank calculated using Newman-Keuls test at 5% = BCD
IFC 27 [CIV],Mirids,moderate damage,Trial I17,Rank calculated using Newman-Keuls test at 5% = AB
IFC 317 [CIV],Mirids,moderate damage,Trial G8,Rank calculated using Newman-Keuls test at 5% = AB
IFC 413 [CIV],Mirids,low damage,Trial G8,Rank calculated using Newman-Keuls test at 5% = AB
IFC 414 [CIV],Mirids,moderate damage,Trial D13/4,Rank calculated using Newman-Keuls test at 5% = BCDE
IFC 414 [CIV],Mirids,moderate damage,Trial I17,Rank calculated using Newman-Keuls test at 5% = AB
IFC 5 [CIV],Mirids,high damage,Trial G8,Rank calculated using Newman-Keuls test at 5% = A
IFC 5 [CIV],Mirids,moderate damage,Trial D11/2,Rank calculated using Newman-Keuls test at 5% = ABC
IFC 5 [CIV],Mirids,high damage,Trial D13/4,Rank calculated using Newman-Keuls test at 5% = ABCD
IFC 5 [CIV],Mirids,moderate damage,Trial I17,Rank calculated using Newman-Keuls test at 5% = AB
IFC 6 [CIV],Mirids,moderate damage,Trial D13/4,Rank calculated using Newman-Keuls test at 5% = BCDE
K 19 /11-5 [CIV],Mirids,moderate damage,Trial I17,Rank calculated using Newman-Keuls test at 5% = AB
K 19 /12-2 [CIV],Mirids,moderate damage,Trial I17,Rank calculated using Newman-Keuls test at 5% = AB
K 19 /13-10 [CIV],Mirids,moderate damage,Trial I17,Rank calculated using Newman-Keuls test at 5% = AB
K 19 /52-2 [CIV],Mirids,high damage,Trial I17,Rank calculated using Newman-Keuls test at 5% = A
K 19 /62-7 [CIV],Mirids,moderate damage,Trial I17,Rank calculated using Newman-Keuls test at 5% = AB
K 19 /8-8 [CIV],Mirids,moderate damage,Trial I17,Rank calculated using Newman-Keuls test at 5% = AB
NA 32,Mirids,moderate damage,Trial D11/2,Rank calculated using Newman-Keuls test at 5% = D
PA 150 [PER],Mirids,moderate damage,Trial G8,Rank calculated using Newman-Keuls test at 5% = AB
POUND 7,Mirids,moderate damage,Trial D13/4,Rank calculated using Newman-Keuls test at 5% = BCDE
SCA 6,Mirids,moderate damage,Trial G8,Rank calculated using Newman-Keuls test at 5% = AB
SF 13,Mirids,moderate damage,Trial G8,Rank calculated using Newman-Keuls test at 5% = AB
SNK 109,Mirids,high damage,Trial D13/4,Rank calculated using Newman-Keuls test at 5% = A
SNK 12,Mirids,high damage,Trial D13/4,Rank calculated using Newman-Keuls test at 5% = ABC
T 16 /613 [POS],Mirids,moderate damage,Trial D13/4,Rank calculated using Newman-Keuls test at 5% = BCDE
T 60 /887 [POS],Mirids,moderate damage,Trial D13/4,Rank calculated using Newman-Keuls test at 5% = CDE
T 63 /967 [POS],Mirids,moderate damage,Trial D13/4,Rank calculated using Newman-Keuls test at 5% = DE
T 79 /501 [POS],Mirids,moderate damage,Trial D11/2,Rank calculated using Newman-Keuls test at 5% = CD
T 79 /501 [POS],Mirids,low damage,Trial I17,Rank calculated using Newman-Keuls test at 5% = B
UF 667,Mirids,high damage,Trial G8,Rank calculated using Newman-Keuls test at 5% = A
UPA 401,Mirids,low damage,Trial D11/2,Rank calculated using Newman-Keuls test at 5% = E
UPA 402,Mirids,moderate damage,Trial D11/2,Rank calculated using Newman-Keuls test at 5% = BCD
UPA 413,Mirids,moderate damage,Trial D13/4,Rank calculated using Newman-Keuls test at 5% = E
W 41 [POS],Mirids,moderate damage,Trial G8,Rank calculated using Newman-Keuls test at 5% = AB
WA 40 [DR],Mirids,moderate damage,Trial G8,Rank calculated using Newman-Keuls test at 5% = AB
