Clone name,Yield ha
A 13 /D-56 [CIV],1134
A1 180 /2 [CIV],1276
A1 214 /9 [CIV],961
A1 214 /9 [CIV],3177
ACU 85,2388
B 11 /B-263 [CIV],1042
B 9 /5 [CIV],1190
B 9 /8 [CIV],1564
GS 29,548
GS 36,2488
GS 36,820
GW 1,861
ICS 100,759
ICS 39,2189
ICS 84,1464
ICS 84,528
ICS 89,1881
ICS 95,2196
IFC 2 [CIV],673
IFC 25 [CIV],3169
IFC 27 [CIV],3047
IFC 27 [CIV],1110
IFC 317 [CIV],3238
IFC 413 [CIV],1116
IFC 414 [CIV],1765
IFC 414 [CIV],545
IFC 5 [CIV],1375
IFC 5 [CIV],4404
IFC 5 [CIV],1903
IFC 5 [CIV],2479
IFC 5 [CIV],4536
IFC 6 [CIV],1166
IMC 31,1749
IMC 5,2005
IMC 57,2869
IMC 6,1344
K 19 /11-5 [CIV],1029
K 19 /12-2 [CIV],662
K 19 /13-10 [CIV],632
K 19 /52-2 [CIV],650
K 19 /62-7 [CIV],848
K 19 /8-8 [CIV],916
MO 81,3924
MO 9,3157
MOQ 4 /13,2122
MOQ 6 /47,1514
NA 32,4393
PA 121 [PER],3189
PA 13 [PER],3348
PA 150 [PER],1456
PA 4 [PER],3487
POUND 13 /B,1696
POUND 19 /A,3050
POUND 32 /A,1482
POUND 7,1652
SCA 6,1076
SF 13,1032
SNK 109,597
SNK 12,388
T 16 /613 [POS],1750
T 60 /887 [POS],2548
T 63 /967 [POS],2095
T 79 /501 [POS],4708
T 79 /501 [POS],1093
UF 667,1694
UPA 401,1971
UPA 402,2560
UPA 413,2367
UPA 620,3551
W 41 [POS],766
WA 40 [DR],2086
