Parent,Station,Country,Region,Producer
ICS 60,"Indonesia, Indonesian Coffee and Cocoa Research Institute (ICCRI)",Indonesia,"Jember, East Java",Pusat Penelitian Kopi dan Kakao Indonesia
GC 7,"Indonesia, Indonesian Coffee and Cocoa Research Institute (ICCRI)",Indonesia,"Jember, East Java",Pusat Penelitian Kopi dan Kakao Indonesia
TSH 858,"Indonesia, Indonesian Coffee and Cocoa Research Institute (ICCRI)",Indonesia,"Jember, East Java",Pusat Penelitian Kopi dan Kakao Indonesia
SCA 6,"Indonesia, Indonesian Coffee and Cocoa Research Institute (ICCRI)",Indonesia,"Jember, East Java",Pusat Penelitian Kopi dan Kakao Indonesia
SCA12,"Indonesia, Indonesian Coffee and Cocoa Research Institute (ICCRI)",Indonesia,"Jember, East Java",Pusat Penelitian Kopi dan Kakao Indonesia
ICS 60,"Indonesia, Indonesian Coffee and Cocoa Research Institute (ICCRI)",Indonesia,North Sumatera,Pusat Penelitian Kelapa Sawit
TSH 858,"Indonesia, Indonesian Coffee and Cocoa Research Institute (ICCRI)",Indonesia,North Sumatera,Pusat Penelitian Kelapa Sawit
IMC67,"Indonesia, Indonesian Coffee and Cocoa Research Institute (ICCRI)",Indonesia,North Sumatera,Pusat Penelitian Kelapa Sawit
SCA12,"Indonesia, Indonesian Coffee and Cocoa Research Institute (ICCRI)",Indonesia,North Sumatera,Pusat Penelitian Kelapa Sawit
PA150,"Indonesia, Indonesian Coffee and Cocoa Research Institute (ICCRI)",Indonesia,North Sumatera,Pusat Penelitian Kelapa Sawit
TSH 539,"Indonesia, Indonesian Coffee and Cocoa Research Institute (ICCRI)",Indonesia,North Sumatera,PT Perkebunan Nusantara II
TSH 858,"Indonesia, Indonesian Coffee and Cocoa Research Institute (ICCRI)",Indonesia,North Sumatera,PT Perkebunan Nusantara II
TSH654,"Indonesia, Indonesian Coffee and Cocoa Research Institute (ICCRI)",Indonesia,North Sumatera,PT Perkebunan Nusantara II
TSH908,"Indonesia, Indonesian Coffee and Cocoa Research Institute (ICCRI)",Indonesia,North Sumatera,PT Perkebunan Nusantara II
TSH866,"Indonesia, Indonesian Coffee and Cocoa Research Institute (ICCRI)",Indonesia,North Sumatera,PT Perkebunan Nusantara II
ICS60,"Indonesia, Indonesian Coffee and Cocoa Research Institute (ICCRI)",Indonesia,North Sumatera,PT Perkebunan Nusantara II
SCA 6,"Indonesia, Indonesian Coffee and Cocoa Research Institute (ICCRI)",Indonesia,North Sumatera,PT Perkebunan Nusantara II
ICS60,"Indonesia, Indonesian Coffee and Cocoa Research Institute (ICCRI)",Indonesia,North Sumatera,PT Perkebunan Nusantara IV
