Clone name,Seed index,Pod index,Wet weight beans per tree,Yield efficiency,Info
INIAP T 56,1.0,23.0,1641.7,62.8,Cherelle wilt per tree: 34.8
INIAP T 178,1.2,18.6,2629.2,136.2,Cherelle wilt per tree: 55.0
INIAP T 183,0.8,36.4,2583.3,126.5,Cherelle wilt per tree: 26.7
INIAP T 185,1.3,16.1,2460.0,243.8,Cherelle wilt per tree: 144.8
INIAP T 294,0.9,27.6,3133.3,133.7,Cherelle wilt per tree: 108.5
INIAP T 302,1.1,24.7,3858.3,215.8,Cherelle wilt per tree: 29.5
INIAP T 332,0.9,27.2,2679.2,117.0,Cherelle wilt per tree: 56.0
INIAP T 348,0.9,27.1,2745.8,160.7,Cherelle wilt per tree: 123.7
INIAP T 364,1.0,21.4,2758.3,152.3,Cherelle wilt per tree: 68.3
INIAP T 374,1.3,21.3,4054.2,139.1,Cherelle wilt per tree: 100.3
INIAP T 405,1.3,17.6,4441.7,242.7,Cherelle wilt per tree: 91.3
INIAP T 462,1.3,19.7,2862.5,177.0,Cherelle wilt per tree: 33.2
INIAP T 468,1.1,22.7,2900.0,192.0,Cherelle wilt per tree: 43.6
INIAP T 481,1.1,25.6,3320.8,145.2,Cherelle wilt per tree: 30.7
INIAP T 484,1.6,15.0,7531.3,193.3,Cherelle wilt per tree: 111.0
INIAP T 509,0.9,24.6,2270.8,147.3,Cherelle wilt per tree: 19.5
INIAP T 527,0.9,30.4,2504.2,141.2,Cherelle wilt per tree: 45.3
INIAP T 533,1.2,25.0,5060.0,200.8,Cherelle wilt per tree: 82.0
INIAP T 543,0.9,25.9,2720.8,118.3,Cherelle wilt per tree: 16.8
INIAP T 560,0.8,28.6,2866.7,207.0,Cherelle wilt per tree: 50.3
INIAP T 561,1.2,24.4,3616.7,233.5,Cherelle wilt per tree: 112.7
INIAP T 564,1.3,21.2,2743.8,222.8,Cherelle wilt per tree: 56.8
INIAP T 573,0.9,25.9,4387.5,262.5,Cherelle wilt per tree: 41.8
INIAP T 632,1.3,24.7,4458.3,232.7,Cherelle wilt per tree: 112.3
INIAP T 641,1.1,19.3,4175.0,189.5,Cherelle wilt per tree: 17.0
INIAP T 644,0.7,30.8,2891.7,176.7,Cherelle wilt per tree: 15.3
INIAP T 648,1.3,19.3,2105.0,66.0,Cherelle wilt per tree: 130.0
INIAP T 649,0.8,44.8,2283.3,92.0,Cherelle wilt per tree: 53.8
INIAP T 653,1.1,31.2,2129.2,74.5,Cherelle wilt per tree: 161.0
INIAP T 656,1.5,15.1,3591.7,186.3,Cherelle wilt per tree: 55.7
INIAP T 678,0.8,30.3,4441.7,323.3,Cherelle wilt per tree: 73.7
INIAP T 680,1.6,14.4,2983.3,111.3,Cherelle wilt per tree: 68.8
INIAP T 694,1.5,14.5,1283.3,53.0,Cherelle wilt per tree: 82.0
