Clone name,Productivity,Info
BE 2,high,expedition data
BE 5,high,expedition data
CS 27,high,expedition data
OB 52 [BRA],high,expedition data
OB 54 [BRA],high,expedition data
OB 55 [BRA],high,expedition data
RB 36 [BRA],high,expedition data
RB 40 [BRA],high,expedition data
RB 41 [BRA],high,expedition data
RB 42 [BRA],high,expedition data
RB 43 [BRA],high,expedition data
RB 49 [BRA],high,expedition data
RB 50 [BRA],high,expedition data
SC 19 [BRA],high,expedition data
SC 20 [BRA],high,expedition data
