SampleName,Clone name,Data type,Run,Experiment,BioSample,SampleSource
1004F2,TSH 516 (SCA 6 x ICS 1) - F2 population,genomic,SRR12116352 NCBI ENA,SRX8638477,SAMN15348370,BRA074
1005F2,TSH 516 (SCA 6 x ICS 1) - F2 population,genomic,SRR12116351 NCBI ENA,SRX8638478,SAMN15348371,BRA074
1006F2,TSH 516 (SCA 6 x ICS 1) - F2 population,genomic,SRR12116057 NCBI ENA,SRX8638735,SAMN15348372,BRA074
1012F2,TSH 516 (SCA 6 x ICS 1) - F2 population,genomic,SRR12116090 NCBI ENA,SRX8638738,SAMN15348373,BRA074
1017F2a,TSH 516 (SCA 6 x ICS 1) - F2 population,genomic,SRR12116382 NCBI ENA,SRX8639029,SAMN15348374,BRA074
1017F2b,TSH 516 (SCA 6 x ICS 1) - F2 population,genomic,SRR12115976 NCBI ENA,SRX8638852,SAMN15348375,BRA074
101F2,TSH 516 (SCA 6 x ICS 1) - F2 population,genomic,SRR12116170 NCBI ENA,SRX8638658,SAMN15348376,BRA074
1022F2a,TSH 516 (SCA 6 x ICS 1) - F2 population,genomic,SRR12116267 NCBI ENA,SRX8638561,SAMN15348377,BRA074
1022F2b,TSH 516 (SCA 6 x ICS 1) - F2 population,genomic,SRR12116256 NCBI ENA,SRX8638572,SAMN15348378,BRA074
1026F2,TSH 516 (SCA 6 x ICS 1) - F2 population,genomic,SRR12116245 NCBI ENA,SRX8638583,SAMN15348379,BRA074
1028F2,TSH 516 (SCA 6 x ICS 1) - F2 population,genomic,SRR12116350 NCBI ENA,SRX8638479,SAMN15348380,BRA074
102F2,TSH 516 (SCA 6 x ICS 1) - F2 population,genomic,SRR12116451 NCBI ENA,SRX8638960,SAMN15348381,BRA074
1030F2,TSH 516 (SCA 6 x ICS 1) - F2 population,genomic,SRR12116440 NCBI ENA,SRX8638971,SAMN15348382,BRA074
1031F2,TSH 516 (SCA 6 x ICS 1) - F2 population,genomic,SRR12116429 NCBI ENA,SRX8638982,SAMN15348383,BRA074
1032F2a,TSH 516 (SCA 6 x ICS 1) - F2 population,genomic,SRR12116015 NCBI ENA,SRX8638813,SAMN15348384,BRA074
1032F2b,TSH 516 (SCA 6 x ICS 1) - F2 population,genomic,SRR12116004 NCBI ENA,SRX8638824,SAMN15348385,BRA074
