iter	RMSE
0	23.04289919
1	20.21643492
2	18.06010979
3	16.70631893
4	15.72799593
5	14.23340889
6	12.92414162
7	12.07010179
8	11.56910803
9	11.0145999
10	10.58633687
11	10.1789128
12	9.843191133
13	9.604307458
14	9.341834695
15	9.052311088
16	8.797298965
17	8.646054483
18	8.515628937
19	8.328048244
20	8.244336537
21	8.112690598
22	8.017996388
23	7.947342951
24	7.911600657
25	7.804274424
26	7.735171598
27	7.58328986
28	7.508287163
29	7.472096722
30	7.42781976
31	7.295105433
32	7.243699292
33	7.076109061
34	6.944508698
35	6.88746735
36	6.791432549
37	6.740858623
38	6.700664935
39	6.641149467
40	6.520142744
41	6.394906994
42	6.362775594
43	6.294573904
44	6.216183067
45	6.196801687
46	6.130621906
47	6.05966742
48	5.933414
49	5.875140414
50	5.820960631
51	5.743405869
52	5.656939765
53	5.621626023
54	5.549444601
55	5.474982442
56	5.420392185
57	5.341926822
58	5.262887543
59	5.251467286
60	5.205808644
61	5.169814803
62	5.161503854
63	5.151602418
64	5.110964164
65	5.014506247
66	4.955675487
67	4.906756286
68	4.877106564
69	4.84012009
70	4.791328663
71	4.749123951
72	4.723183231
73	4.713694965
74	4.676738821
75	4.644117698
76	4.613558936
77	4.607579377
78	4.566493585
79	4.562001111
80	4.528196559
81	4.487874106
82	4.471724239
83	4.432400995
84	4.41207643
85	4.382167279
86	4.320571502
87	4.29338881
88	4.289025896
89	4.285599476
90	4.249344811
91	4.220812134
92	4.204689177
93	4.159308876
94	4.146389895
95	4.115105271
96	4.048422837
97	4.015102594
98	3.992858952
99	3.968050181
100	3.965267911
101	3.929036754
102	3.903128929
103	3.878061682
104	3.874861037
105	3.838005281
106	3.800417937
107	3.77404629
108	3.759416376
109	3.75718454
110	3.734703223
111	3.716124387
112	3.683350038
113	3.636244257
114	3.612516992
115	3.600868142
116	3.579349099
117	3.566523384
118	3.545828156
119	3.528284455
120	3.509908494
121	3.495517724
122	3.478434353
123	3.466820441
124	3.443179857
125	3.437550525
126	3.422854076
127	3.395446103
128	3.381245167
129	3.363186847
130	3.360801411
131	3.34139861
132	3.330837423
133	3.296321014
134	3.284689667
135	3.272805208
136	3.268571209
137	3.248835643
138	3.224389303
139	3.22292944
140	3.199604457
141	3.184379793
142	3.16655753
143	3.137138519
144	3.122108065
145	3.10542753
146	3.094645672
147	3.064028963
148	3.061181543
149	3.054581821
150	3.030447265
151	3.010674077
152	2.994498603
153	2.975750242
154	2.961715466
155	2.947658714
156	2.932566108
157	2.927133786
158	2.914118576
159	2.903242558
160	2.888535911
161	2.862278439
162	2.840553964
163	2.823143274
164	2.798355958
165	2.787028679
166	2.766346261
167	2.756643202
168	2.734222444
169	2.704598166
170	2.689792793
171	2.681690618
172	2.66817914
173	2.657688727
174	2.649812613
175	2.633601024
176	2.609608974
177	2.598051459
178	2.595453048
179	2.564776231
180	2.552662189
181	2.537884263
182	2.523047557
183	2.518402201
184	2.505859581
185	2.484311264
186	2.480756637
187	2.473953976
188	2.443751499
189	2.428833249
190	2.426048786
191	2.41394289
192	2.40619001
193	2.400293217
194	2.390207718
195	2.384766293
196	2.373516399
197	2.370153248
198	2.358491346
199	2.354864274
200	2.345730777
201	2.338366111
202	2.33783661
203	2.29270913
204	2.285803883
205	2.274456632
206	2.261958542
207	2.25130843
208	2.250895455
209	2.234281921
210	2.22910791
211	2.213211803
212	2.188857019
213	2.174443767
214	2.168134291
215	2.154925624
216	2.134033272
217	2.122663172
218	2.111869432
219	2.106625092
220	2.095820857
221	2.09254745
222	2.086192833
223	2.08047706
224	2.065228154
225	2.05255125
226	2.028490696
227	2.018088904
228	2.01413532
229	2.007395499
230	1.991630997
231	1.97502308
232	1.959869889
233	1.947621599
234	1.937580865
235	1.929604031
236	1.926233803
237	1.917504068
238	1.912367171
239	1.902756647
240	1.892834186
241	1.885694099
242	1.880564638
243	1.871901436
244	1.866108989
245	1.860541239
246	1.846796419
247	1.840224508
248	1.822405163
249	1.821967216
250	1.815089373
251	1.807253952
252	1.798053825
253	1.791133137
254	1.787387297
255	1.783882915
256	1.775839227
257	1.775103098
258	1.768657142
259	1.762907563
260	1.754946859
261	1.745827854
262	1.743975844
263	1.736842154
264	1.72467089
265	1.714621403
266	1.697835842
267	1.695314293
268	1.691039763
269	1.68628598
270	1.681938924
271	1.678600549
272	1.663574462
273	1.66279842
274	1.658798745
275	1.655952199
276	1.655673957
277	1.652601378
278	1.647311665
279	1.643201495
280	1.637360955
281	1.634036489
282	1.632114719
283	1.625214041
284	1.615232238
285	1.609097144
286	1.588408068
287	1.583527431
288	1.57923361
289	1.566197926
290	1.559396226
291	1.55601234
292	1.553750123
293	1.548553845
294	1.541012281
295	1.535940481
296	1.532304704
297	1.525776638
298	1.522501238
299	1.518415284
