iter	Passed	Remaining
0	3	1004
1	9	1407
2	14	1409
3	26	1927
4	30	1790
5	34	1711
6	37	1563
7	39	1440
8	41	1340
9	44	1300
10	47	1244
11	50	1206
12	54	1195
13	57	1171
14	61	1163
15	63	1127
16	65	1096
17	68	1069
18	71	1064
19	76	1072
20	79	1059
21	82	1037
22	88	1070
23	91	1055
24	93	1025
25	96	1016
26	104	1057
27	107	1043
28	109	1025
29	114	1030
30	123	1073
31	142	1192
32	147	1195
33	158	1236
34	160	1213
35	162	1193
36	175	1246
37	177	1223
38	179	1202
39	193	1257
40	195	1236
41	208	1279
42	210	1258
43	223	1303
44	227	1291
45	230	1273
46	237	1280
47	247	1297
48	251	1290
49	259	1295
50	264	1292
51	270	1290
52	278	1298
53	282	1285
54	291	1299
55	294	1284
56	297	1269
57	301	1257
58	303	1240
59	306	1227
60	310	1216
61	314	1205
62	318	1197
63	320	1181
64	325	1176
65	329	1166
66	333	1160
67	336	1148
68	340	1138
69	343	1128
70	347	1122
71	350	1110
72	352	1097
73	355	1085
74	359	1078
75	366	1079
76	371	1075
77	375	1068
78	381	1067
79	384	1056
80	388	1051
81	399	1060
82	403	1053
83	406	1046
84	413	1045
85	420	1045
86	423	1036
87	428	1033
88	434	1029
89	438	1022
90	443	1018
91	450	1018
92	455	1013
93	458	1005
94	460	994
95	466	991
96	471	986
97	475	980
98	478	970
99	480	960
100	486	958
101	491	953
102	499	956
103	504	951
104	508	944
105	516	945
106	518	935
107	522	928
108	525	920
109	527	911
110	529	901
111	532	894
112	535	885
113	539	880
114	542	873
115	545	865
116	548	857
117	553	853
118	556	846
119	559	839
120	561	831
121	563	822
122	569	818
123	571	811
124	576	806
125	578	799
126	581	792
127	588	790
128	595	788
129	601	786
130	632	816
131	646	822
132	651	818
133	654	810
134	666	814
135	670	808
136	723	861
137	727	853
138	751	869
139	757	865
140	765	863
141	768	855
142	770	846
143	787	853
144	790	845
145	797	841
146	802	835
147	806	828
148	812	823
149	820	820
150	823	812
151	828	806
152	832	799
153	837	793
154	840	786
155	845	780
156	858	782
157	868	780
158	871	772
159	886	775
160	890	769
161	910	775
162	928	780
163	939	778
164	943	771
165	946	764
166	951	757
167	962	756
168	971	753
169	974	745
170	992	748
171	995	740
172	1000	734
173	1006	729
174	1009	721
175	1016	716
176	1025	712
177	1028	705
178	1031	696
179	1039	693
180	1043	686
181	1046	678
182	1051	672
183	1058	667
184	1061	659
185	1064	652
186	1068	645
187	1074	640
188	1078	633
189	1082	626
190	1084	618
191	1088	612
192	1093	606
193	1097	599
194	1100	592
195	1103	585
196	1108	579
197	1114	574
198	1116	566
199	1119	559
200	1124	553
201	1130	548
202	1133	541
203	1137	535
204	1140	528
205	1150	525
206	1153	518
207	1156	511
208	1164	507
209	1169	501
210	1172	494
211	1182	490
212	1187	484
213	1190	478
214	1201	474
215	1209	470
216	1214	464
217	1217	457
218	1220	451
219	1231	447
220	1233	441
221	1236	434
222	1238	427
223	1241	421
224	1244	414
225	1247	408
226	1249	401
227	1251	395
228	1254	388
229	1257	382
230	1260	376
231	1263	370
232	1266	364
233	1269	357
234	1272	352
235	1275	345
236	1278	339
237	1281	333
238	1283	327
239	1287	321
240	1291	316
241	1293	310
242	1295	303
243	1298	298
244	1302	292
245	1305	286
246	1309	280
247	1313	275
248	1321	270
249	1323	264
250	1329	259
251	1336	254
252	1339	248
253	1341	243
254	1345	237
255	1353	232
256	1357	227
257	1361	221
258	1366	216
259	1371	211
260	1374	205
261	1376	199
262	1378	193
263	1389	189
264	1392	183
265	1395	178
266	1406	173
267	1409	168
268	1412	162
269	1424	158
270	1428	152
271	1431	147
272	1445	142
273	1448	137
274	1451	131
275	1457	126
276	1463	121
277	1466	116
278	1469	110
279	1477	105
280	1481	100
281	1483	94
282	1485	89
283	1490	83
284	1493	78
285	1496	73
286	1500	67
287	1503	62
288	1515	57
289	1518	52
290	1520	47
291	1524	41
292	1528	36
293	1534	31
294	1537	26
295	1540	20
296	1544	15
297	1548	10
298	1556	5
299	1564	0
