iter	RMSE
0	13.37141922
1	12.64519292
2	12.02650219
3	11.44445362
4	11.04565857
5	10.56156348
6	10.12229358
7	9.784774951
8	9.438984395
9	9.239148267
10	8.967650946
11	8.715830878
12	8.508234175
13	8.315083246
14	8.158248314
15	7.971522062
16	7.819306309
17	7.721297544
18	7.603694159
19	7.519360748
20	7.430984744
21	7.331520049
22	7.24499145
23	7.183074866
24	7.135221972
25	7.070530328
26	6.983350101
27	6.919654525
28	6.878344049
29	6.841931611
30	6.797760035
31	6.754222053
32	6.704035511
33	6.672812825
34	6.616236767
35	6.586972241
36	6.56371124
37	6.525324055
38	6.475675782
39	6.457619639
40	6.421549207
41	6.394537049
42	6.364347382
43	6.323679146
44	6.299186124
45	6.271381755
46	6.244017481
47	6.230635675
48	6.210320531
49	6.18536952
50	6.155076018
51	6.118462893
52	6.070814553
53	6.050254539
54	6.029236516
55	5.987374615
56	5.962746411
57	5.945832164
58	5.927966165
59	5.901998468
60	5.881198664
61	5.854777842
62	5.829309447
63	5.802280726
64	5.791359588
65	5.768733106
66	5.752342987
67	5.723332111
68	5.689394887
69	5.652132282
70	5.63195459
71	5.616054721
72	5.597073123
73	5.576641773
74	5.552739954
75	5.530880288
76	5.514709057
77	5.487316139
78	5.474591473
79	5.448209068
80	5.415988862
81	5.400911086
82	5.392434259
83	5.354286802
84	5.335782881
85	5.317342371
86	5.290481255
87	5.257080616
88	5.24755123
89	5.241159148
90	5.224073408
91	5.217403841
92	5.18227174
93	5.144560945
94	5.124570159
95	5.118332903
96	5.094809171
97	5.078425387
98	5.072545434
99	5.049943915
100	5.026992795
101	5.01105741
102	4.993178234
103	4.984928755
104	4.963809532
105	4.939994402
106	4.921170637
107	4.900885047
108	4.883437074
109	4.875080868
110	4.86999245
111	4.840390007
112	4.815638835
113	4.807193932
114	4.793176203
115	4.782413525
116	4.764961783
117	4.741191361
118	4.729475661
119	4.727048546
120	4.716658777
121	4.696200802
122	4.676605815
123	4.672993917
124	4.653687179
125	4.638058105
126	4.636403632
127	4.623466662
128	4.60366508
129	4.589712662
130	4.569518048
131	4.556422474
132	4.543086653
133	4.509998055
134	4.500449858
135	4.474827744
136	4.472288479
137	4.46104936
138	4.45270442
139	4.437159271
140	4.435081746
141	4.433994891
142	4.423570386
143	4.410908854
144	4.399749491
145	4.383806152
146	4.362448898
147	4.351611924
148	4.338907737
149	4.328772091
150	4.327285851
151	4.313334129
152	4.294229206
153	4.286989673
154	4.267036618
155	4.263742407
156	4.262533404
157	4.260759742
158	4.246921953
159	4.245797281
160	4.219273706
161	4.198080335
162	4.181588188
163	4.17323081
164	4.153656033
165	4.142478135
166	4.132790519
167	4.110428045
168	4.095817398
169	4.06831343
170	4.056901994
171	4.039871886
172	4.02068033
173	4.012956708
174	4.006316592
175	3.984090641
176	3.962103827
177	3.953938143
178	3.946586187
179	3.936773649
180	3.92065076
181	3.914231716
182	3.90425081
183	3.898185404
184	3.881318213
185	3.869291639
186	3.861241524
187	3.834712385
188	3.826924873
189	3.810261837
190	3.7936627
191	3.785300255
192	3.773271196
193	3.753603037
194	3.728819043
195	3.721513785
196	3.705640092
197	3.690124695
198	3.673955185
199	3.665374251
