iter	Passed	Remaining
0	1	206
1	1	185
2	2	184
3	3	184
4	4	180
5	5	173
6	6	175
7	7	180
8	9	192
9	9	187
10	10	184
11	11	181
12	12	180
13	13	178
14	14	180
15	15	178
16	16	175
17	17	174
18	18	172
19	19	173
20	20	171
21	21	170
22	21	169
23	22	167
24	23	166
25	24	166
26	27	173
27	28	172
28	28	170
29	29	169
30	31	169
31	32	168
32	32	166
33	33	164
34	34	164
35	36	164
36	37	163
37	38	162
38	39	163
39	41	165
40	42	163
41	43	161
42	44	161
43	45	160
44	46	159
45	46	157
46	47	155
47	49	155
48	50	154
49	51	154
50	53	156
51	54	155
52	55	154
53	56	153
54	57	151
55	58	150
56	59	149
57	60	147
58	61	146
59	62	144
60	62	143
61	64	143
62	65	142
63	66	141
64	68	143
65	69	142
66	70	140
67	72	140
68	73	138
69	74	138
70	75	136
71	76	135
72	76	133
73	77	132
74	78	130
75	79	129
76	80	128
77	81	127
78	82	126
79	85	127
80	86	126
81	87	125
82	87	124
83	89	123
84	90	121
85	90	120
86	91	119
87	92	118
88	93	116
89	94	115
90	95	114
91	96	112
92	97	111
93	98	110
94	100	110
95	101	109
96	102	108
97	103	107
98	104	106
99	105	105
100	106	104
101	107	103
102	108	102
103	110	101
104	111	100
105	112	99
106	113	98
107	114	97
108	115	96
109	116	95
110	118	94
111	119	93
112	121	93
113	122	92
114	123	91
115	125	91
116	127	90
117	128	89
118	129	88
119	130	86
120	131	85
121	133	85
122	133	83
123	135	82
124	136	81
125	137	80
126	138	79
127	140	78
128	142	78
129	144	77
130	147	77
131	148	76
132	149	75
133	150	74
134	151	73
135	153	72
136	154	71
137	155	69
138	156	68
139	158	67
140	159	66
141	161	65
142	162	64
143	163	63
144	164	62
145	165	61
146	168	60
147	169	59
148	170	58
149	172	57
150	172	56
151	174	54
152	175	53
153	177	52
154	178	51
155	179	50
156	180	49
157	181	48
158	182	46
159	183	45
160	184	44
161	185	43
162	186	42
163	187	41
164	188	39
165	189	38
166	191	37
167	192	36
168	194	35
169	195	34
170	196	33
171	197	32
172	198	30
173	199	29
174	200	28
175	201	27
176	202	26
177	203	25
178	204	23
179	205	22
180	206	21
181	207	20
182	209	19
183	210	18
184	211	17
185	212	15
186	213	14
187	214	13
188	215	12
189	216	11
190	217	10
191	218	9
192	219	7
193	220	6
194	222	5
195	223	4
196	224	3
197	225	2
198	226	1
199	227	0
